datetime,open,high,low,close,volume
2017-01-02 22:00:00+00:00,1.22819,1.22997,1.2275,1.22986,4833
2017-01-03 02:00:00+00:00,1.2298,1.2307299999999999,1.2294,1.2296200000000002,1032
2017-01-03 06:00:00+00:00,1.22961,1.23056,1.22472,1.22884,5815
2017-01-03 10:00:00+00:00,1.22886,1.23024,1.2255200000000002,1.22692,4750
2017-01-03 14:00:00+00:00,1.22688,1.22738,1.2199200000000001,1.22603,7595
2017-01-03 18:00:00+00:00,1.2259799999999998,1.22631,1.22292,1.22381,3348
2017-01-03 22:00:00+00:00,1.2236200000000002,1.22472,1.2221600000000001,1.2234200000000002,6564
2017-01-04 02:00:00+00:00,1.2234200000000002,1.22482,1.22294,1.2246,1859
2017-01-04 06:00:00+00:00,1.2245700000000002,1.22876,1.2243600000000001,1.22773,4731
2017-01-04 10:00:00+00:00,1.2277799999999999,1.2295399999999999,1.22512,1.22935,6047
2017-01-04 14:00:00+00:00,1.2294,1.23336,1.22686,1.23166,5570
2017-01-04 18:00:00+00:00,1.2316,1.2353399999999999,1.2302600000000001,1.2321600000000001,5482
2017-01-04 22:00:00+00:00,1.2324,1.2349,1.2316200000000002,1.23278,10843
2017-01-05 02:00:00+00:00,1.23272,1.23508,1.23176,1.2337799999999999,4767
2017-01-05 06:00:00+00:00,1.2337200000000001,1.2363600000000001,1.22704,1.23042,9844
2017-01-05 10:00:00+00:00,1.2304,1.23284,1.2277,1.23272,7743
2017-01-05 14:00:00+00:00,1.23271,1.24325,1.23089,1.24183,9971
2017-01-05 18:00:00+00:00,1.2418799999999999,1.24268,1.2406700000000002,1.24187,2444
2017-01-05 22:00:00+00:00,1.24206,1.24314,1.23814,1.23865,8924
2017-01-06 02:00:00+00:00,1.23866,1.2399799999999999,1.23746,1.2379799999999999,3387
2017-01-06 06:00:00+00:00,1.2379799999999999,1.23904,1.2373,1.23864,3139
2017-01-06 10:00:00+00:00,1.2387,1.2395399999999999,1.23264,1.2336,9362
2017-01-06 14:00:00+00:00,1.23366,1.23468,1.22837,1.23014,8185
2017-01-06 18:00:00+00:00,1.2300799999999998,1.23013,1.2261600000000001,1.22851,2822
2017-01-08 22:00:00+00:00,1.2249,1.22712,1.2249,1.22688,4721
2017-01-09 02:00:00+00:00,1.22688,1.22698,1.21804,1.21872,2852
2017-01-09 06:00:00+00:00,1.21876,1.21979,1.2136,1.21464,6246
2017-01-09 10:00:00+00:00,1.21464,1.21813,1.21241,1.2137799999999999,7414
2017-01-09 14:00:00+00:00,1.21383,1.21794,1.2128299999999999,1.21692,7194
2017-01-09 18:00:00+00:00,1.21686,1.2170299999999998,1.2154200000000002,1.21624,2412
2017-01-09 22:00:00+00:00,1.21646,1.2175200000000002,1.2136,1.21374,6811
2017-01-10 02:00:00+00:00,1.21375,1.2180600000000001,1.21363,1.21522,6074
2017-01-10 06:00:00+00:00,1.2152399999999999,1.2155200000000002,1.21074,1.21468,6760
2017-01-10 10:00:00+00:00,1.21466,1.21708,1.2132399999999999,1.21652,5182
2017-01-10 14:00:00+00:00,1.21656,1.21898,1.21482,1.2158799999999998,5639
2017-01-10 18:00:00+00:00,1.21584,1.21812,1.21518,1.21766,1742
2017-01-10 22:00:00+00:00,1.21748,1.21986,1.21698,1.21789,3111
2017-01-11 02:00:00+00:00,1.2179,1.21834,1.21536,1.21579,2398
2017-01-11 06:00:00+00:00,1.2158200000000001,1.2174200000000002,1.21078,1.21228,5379
