===============================================================================
Id,NZD_USD,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,CDLENGULFING,len,integer,_candleplot,CDLEVENINGSTAR,len,integer,_candleplot,CDLHAMMER,len,integer,_candleplot,CDLMORNINGSTAR,len,integer,_candleplot,CDLSHOOTINGSTAR,len,integer,_candleplot,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
14,NZD_USD,14,2017-01-05 02:00:00,0.69768,0.70112,0.6974199999999999,0.69996,8349.0,,MyStrategy,14,736334.0833333334,CDLENGULFING,14,0.0,0.0,CDLEVENINGSTAR,14,0.0,0.0,CDLHAMMER,14,0.0,0.0,CDLMORNINGSTAR,14,0.0,0.0,CDLSHOOTINGSTAR,14,0.0,0.0,Broker,14,100000.0,100000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,NZD_USD,15,2017-01-05 06:00:00,0.69991,0.70287,0.6964600000000001,0.6974199999999999,9492.0,,MyStrategy,15,736334.25,CDLENGULFING,15,0.0,0.0,CDLEVENINGSTAR,15,0.0,0.0,CDLHAMMER,15,0.0,0.0,CDLMORNINGSTAR,15,0.0,0.0,CDLSHOOTINGSTAR,15,0.0,0.0,Broker,15,100000.0,100000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,NZD_USD,16,2017-01-05 10:00:00,0.6974600000000001,0.6985,0.69538,0.69768,7140.0,,MyStrategy,16,736334.4166666666,CDLENGULFING,16,0.0,0.0,CDLEVENINGSTAR,16,0.0,0.0,CDLHAMMER,16,0.0,0.0,CDLMORNINGSTAR,16,0.0,0.0,CDLSHOOTINGSTAR,16,0.0,0.0,Broker,16,100000.0,100000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,NZD_USD,17,2017-01-05 14:00:00,0.6976399999999999,0.70368,0.6976399999999999,0.7027100000000001,12363.0,,MyStrategy,17,736334.5833333334,CDLENGULFING,17,0.0,0.0,CDLEVENINGSTAR,17,0.0,0.0,CDLHAMMER,17,0.0,0.0,CDLMORNINGSTAR,17,0.0,0.0,CDLSHOOTINGSTAR,17,0.0,0.0,Broker,17,100000.0,100000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,NZD_USD,18,2017-01-05 18:00:00,0.7027,0.70315,0.7019,0.70236,2649.0,,MyStrategy,18,736334.75,CDLENGULFING,18,0.0,0.0,CDLEVENINGSTAR,18,0.0,0.0,CDLHAMMER,18,0.0,0.0,CDLMORNINGSTAR,18,0.0,0.0,CDLSHOOTINGSTAR,18,0.0,0.0,Broker,18,100000.0,100000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,NZD_USD,19,2017-01-05 22:00:00,0.703,0.7043699999999999,0.7004199999999999,0.7012,8188.0,,MyStrategy,19,736334.9166666666,CDLENGULFING,19,0.0,0.0,CDLEVENINGSTAR,19,0.0,0.0,CDLHAMMER,19,0.0,0.0,CDLMORNINGSTAR,19,0.0,0.0,CDLSHOOTINGSTAR,19,0.0,0.0,Broker,19,100000.0,100000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,NZD_USD,20,2017-01-06 02:00:00,0.70124,0.70294,0.70085,0.7017,4764.0,,MyStrategy,20,736335.0833333334,CDLENGULFING,20,0.0,0.0,CDLEVENINGSTAR,20,0.0,0.0,CDLHAMMER,20,0.0,0.0,CDLMORNINGSTAR,20,0.0,0.0,CDLSHOOTINGSTAR,20,0.0,0.0,Broker,20,100000.0,100000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,NZD_USD,21,2017-01-06 06:00:00,0.70168,0.70272,0.70006,0.70257,4328.0,,MyStrategy,21,736335.25,CDLENGULFING,21,0.0,0.0,CDLEVENINGSTAR,21,0.0,0.0,CDLHAMMER,21,100.0,0.7167744,CDLMORNINGSTAR,21,0.0,0.0,CDLSHOOTINGSTAR,21,0.0,0.0,Broker,21,100000.0,100000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,NZD_USD,22,2017-01-06 10:00:00,0.70258,0.70448,0.69818,0.69926,9989.0,,MyStrategy,22,736335.4166666666,CDLENGULFING,22,-100.0,-0.7185696,CDLEVENINGSTAR,22,0.0,0.0,CDLHAMMER,22,0.0,0.0,CDLMORNINGSTAR,22,0.0,0.0,CDLSHOOTINGSTAR,22,0.0,0.0,Broker,22,100000.0,100000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,NZD_USD,23,2017-01-06 14:00:00,0.69926,0.7005600000000001,0.6963600000000001,0.69717,8717.0,,MyStrategy,23,736335.5833333334,CDLENGULFING,23,0.0,0.0,CDLEVENINGSTAR,23,0.0,0.0,CDLHAMMER,23,0.0,0.0,CDLMORNINGSTAR,23,0.0,0.0,CDLSHOOTINGSTAR,23,0.0,0.0,Broker,23,100000.0,100000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,NZD_USD,24,2017-01-06 18:00:00,0.69717,0.6973199999999999,0.69543,0.69603,2513.0,,MyStrategy,24,736335.75,CDLENGULFING,24,0.0,0.0,CDLEVENINGSTAR,24,0.0,0.0,CDLHAMMER,24,0.0,0.0,CDLMORNINGSTAR,24,0.0,0.0,CDLSHOOTINGSTAR,24,0.0,0.0,Broker,24,100000.0,100000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,NZD_USD,25,2017-01-08 22:00:00,0.69668,0.6973600000000001,0.69562,0.69704,4263.0,,MyStrategy,25,736337.9166666666,CDLENGULFING,25,0.0,0.0,CDLEVENINGSTAR,25,0.0,0.0,CDLHAMMER,25,0.0,0.0,CDLMORNINGSTAR,25,0.0,0.0,CDLSHOOTINGSTAR,25,0.0,0.0,Broker,25,100000.0,100000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
