instrument,datetime,open,high,low,close,volume,long_signal,short_signal,bollinger inner,bollinger outer,ichimoku,stdev,CDLENGULFING,CDLEVENINGSTAR,CDLHAMMER,CDLMORNINGSTAR,CDLSHOOTINGSTAR
NZD_USD, 2017-01-19 18:00:00, 0.71639, 0.7191, 0.7157, 0.7189399999999999, 4671.0, False, False, 0.71645, 0.71645, 0.71625, 0.00376, 100.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-19 22:00:00, 0.71946, 0.7225199999999999, 0.7177, 0.72192, 7118.0, True, False, 0.71703, 0.71703, 0.71715, 0.00367, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-20 02:00:00, 0.72192, 0.72243, 0.7194, 0.7198100000000001, 4557.0, True, False, 0.71751, 0.71751, 0.71715, 0.00344, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-20 06:00:00, 0.7198, 0.72088, 0.71462, 0.7148899999999999, 6844.0, True, False, 0.71776, 0.71776, 0.71715, 0.00311, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-20 10:00:00, 0.71487, 0.71563, 0.71294, 0.7155, 5956.0, True, False, 0.71776, 0.71776, 0.7174, 0.00267, 0.0, 0.0, 100.0, 0.0, 0.0
NZD_USD, 2017-01-20 14:00:00, 0.71549, 0.71642, 0.71348, 0.7149399999999999, 17592.0, True, False, 0.71763, 0.71763, 0.71773, 0.00269, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-20 18:00:00, 0.7149399999999999, 0.7179, 0.7148800000000001, 0.71708, 5362.0, True, False, 0.71753, 0.71753, 0.71773, 0.0027, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-22 22:00:00, 0.7168800000000001, 0.7198100000000001, 0.7167399999999999, 0.7196100000000001, 6162.0, True, False, 0.71754, 0.71754, 0.71773, 0.00272, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 02:00:00, 0.7196, 0.72108, 0.71916, 0.72024, 4485.0, True, False, 0.71747, 0.71747, 0.71773, 0.00275, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 06:00:00, 0.72024, 0.72196, 0.71812, 0.71814, 6303.0, True, False, 0.71735, 0.71735, 0.71773, 0.0026, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 10:00:00, 0.71816, 0.72146, 0.7177399999999999, 0.7208, 5286.0, True, False, 0.71743, 0.71743, 0.71769, 0.00261, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 14:00:00, 0.7207600000000001, 0.72277, 0.71912, 0.7215600000000001, 12096.0, True, False, 0.71751, 0.71751, 0.71786, 0.00273, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 18:00:00, 0.7215600000000001, 0.7238100000000001, 0.7209300000000001, 0.72333, 3057.0, True, False, 0.71775, 0.71775, 0.71837, 0.00295, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-23 22:00:00, 0.72382, 0.7265199999999999, 0.7228, 0.72402, 5491.0, True, False, 0.7181, 0.7181, 0.72, 0.00323, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-24 02:00:00, 0.72406, 0.72604, 0.72267, 0.7231, 3699.0, True, False, 0.71864, 0.71864, 0.7207, 0.0034, -100.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-24 06:00:00, 0.72313, 0.72333, 0.7211, 0.72302, 5252.0, True, False, 0.71918, 0.71918, 0.72163, 0.00325, 0.0, 0.0, 100.0, 0.0, 0.0
NZD_USD, 2017-01-24 10:00:00, 0.7230300000000001, 0.7249800000000001, 0.7209399999999999, 0.72432, 4641.0, True, False, 0.71967, 0.71967, 0.72213, 0.0031, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-24 14:00:00, 0.72436, 0.72772, 0.72425, 0.7263, 7411.0, True, False, 0.72008, 0.72008, 0.72273, 0.00322, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-24 18:00:00, 0.72626, 0.72636, 0.72418, 0.72482, 2847.0, True, False, 0.72044, 0.72044, 0.72273, 0.00335, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-24 22:00:00, 0.72456, 0.72612, 0.72316, 0.7236199999999999, 6126.0, True, False, 0.7208, 0.7208, 0.72342, 0.00337, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-25 02:00:00, 0.7236, 0.7253, 0.72322, 0.7237, 3887.0, True, False, 0.72104, 0.72104, 0.72433, 0.0033, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-25 06:00:00, 0.72365, 0.72528, 0.72242, 0.7248399999999999, 5939.0, True, False, 0.72118, 0.72118, 0.72433, 0.00336, 0.0, 0.0, 0.0, 0.0, 0.0
NZD_USD, 2017-01-25 10:00:00, 0.7248100000000001, 0.7286, 0.7244, 0.72534, 5497.0, True, False, 0.72146, 0.72146, 0.72477, 0.00347, 0.0, 0.0, 0.0, 0.0, 0.0
